"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"PIH","1347 Property Insurance Holdings, Inc.","6.8297","40874156.3502","n/a","2014","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/pih",
"PIHPP","1347 Property Insurance Holdings, Inc.","24.4806","0","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/pihpp",
"TURN","180 Degree Capital Corp.","1.86","57886105.32","n/a","n/a","Finance","Finance/Investors Services","https://www.nasdaq.com/symbol/turn",
"FLWS","1-800 FLOWERS.COM, Inc.","12.7","819619595.2","n/a","1999","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/flws",
"FCCY","1st Constitution Bancorp (NJ)","21.8","176847965.6","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/fccy",
"SRCE","1st Source Corporation","52.07","1400140326.46","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/srce",
"VNET","21Vianet Group, Inc.","6.66","410288993.64","61604954","2011","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/vnet",
"TWOU","2U, Inc.","82.41","4344308336.31","n/a","2014","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/twou",
"JOBS","51job, Inc.","87.88","3202010707.48","36436171","2004","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/jobs",
"CAFD","8point3 Energy Partners LP","12.01","949910593.05","n/a","2015","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/cafd",
"EGHT","8x8 Inc","18.8","1732655808.4","n/a","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/eght",
"AVHI","A V Homes, Inc.","19.4","433555526.2","n/a","n/a","Capital Goods","Homebuilding","https://www.nasdaq.com/symbol/avhi",
"SHLM","A. Schulman, Inc.","43.15","1274021096.3","n/a","1972","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/shlm",
"AAON","AAON, Inc.","35.35","1853395798.45","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aaon",
"ABAX","ABAXIS, Inc.","70.91","1609515180","n/a","1992","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/abax",
"ABEO","Abeona Therapeutics Inc.","14.35","677706589","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/abeo",
"ABEOW","Abeona Therapeutics Inc.","9.2647","0","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/abeow",
"ABIL","Ability Inc.","2.6","6696596.4","n/a","2014","Consumer Durables","Telecommunications Equipment","https://www.nasdaq.com/symbol/abil",
"ABMD","ABIOMED, Inc.","292.13","12934881017.25","n/a","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/abmd",
"ABLX","Ablynx NV","54.44","949587719.64","17442831","2017","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/ablx",
"AXAS","Abraxas Petroleum Corporation","2.36","391528292.84","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/axas",
"ACIU","AC Immune SA","9.6","550609804.8","n/a","2016","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aciu",
